Room_ID	Room_Status	Cat_ID	Cat_Breed	Cat_Sex	Cat_Age	Cat_Weight	Cat_Behavior
Room_001	compromised	Cat_0001	Bengal	Male	4.0	6.08	evil
Room_001	compromised	Cat_0002	Bengal	Male	5.0	6.49	scared
Room_001	compromised	Cat_0003	Ragdoll	Female	4.0	5.26	scared
Room_001	compromised	Cat_0004	Bengal	Male	6.0	5.16	scared
Room_001	compromised	Cat_0005	Ragdoll	Male	6.0	7.87	scared
Room_002	NA	Cat_0006	American Shorthair	Female	3.0	5.35	NA
Room_002	NA	Cat_0007	American Shorthair	Female	4.0	4.55	NA
Room_002	NA	Cat_0008	American Shorthair	Male	4.0	6.54	NA
Room_002	NA	Cat_0009	Domestic Longhair	Female	3.0	3.52	NA
Room_002	NA	Cat_0010	Ragdoll	Female	5.0	4.5	NA
Room_003	compromised	Cat_0011	Bengal	Female	4.0	3.63	evil
Room_003	compromised	Cat_0012	Ragdoll	Female	6.0	6.04	scared
Room_003	compromised	Cat_0013	Bengal	Female	6.0	3.78	scared
Room_003	compromised	Cat_0014	Bengal	Female	4.0	3.86	scared
Room_003	compromised	Cat_0015	Bengal	Male	5.0	5.24	scared
Room_004	NA	Cat_0016	American Shorthair	Female	5.0	4.14	NA
Room_004	NA	Cat_0017	American Shorthair	Female	6.0	4.24	NA
Room_004	NA	Cat_0018	American Shorthair	Female	4.0	4.4	NA
Room_004	NA	Cat_0019	American Shorthair	Male	6.0	5.98	NA
Room_004	NA	Cat_0020	American Shorthair	Female	2.0	4.72	NA
Room_005	NA	Cat_0021	Domestic Longhair	Female	6.0	4.43	NA
Room_005	NA	Cat_0022	Domestic Longhair	Male	7.0	5.89	NA
Room_005	NA	Cat_0023	American Shorthair	Female	5.0	4.29	NA
Room_005	NA	Cat_0024	American Shorthair	Female	5.0	4.41	NA
Room_005	NA	Cat_0025	Ragdoll	Female	6.0	5.6	NA
Room_006	NA	Cat_0026	Domestic Longhair	Female	5.0	3.72	NA
Room_006	NA	Cat_0027	Ragdoll	Female	3.0	5.71	NA
Room_006	NA	Cat_0028	Bengal	Male	7.0	5.92	NA
Room_006	NA	Cat_0029	American Shorthair	Male	6.0	5.75	NA
Room_006	NA	Cat_0030	Domestic Longhair	Female	6.0	4.34	NA
Room_007	NA	Cat_0031	Bengal	Male	4.0	3.99	NA
Room_007	NA	Cat_0032	Bengal	Male	5.0	5.0	NA
Room_007	NA	Cat_0033	American Shorthair	Female	5.0	4.3	NA
Room_007	NA	Cat_0034	Domestic Longhair	Male	7.0	5.38	NA
Room_007	NA	Cat_0035	Bengal	Male	4.0	5.91	NA
Room_008	NA	Cat_0036	Ragdoll	Female	5.0	5.18	NA
Room_008	NA	Cat_0037	Domestic Longhair	Female	5.0	3.55	NA
Room_008	NA	Cat_0038	Ragdoll	Female	4.0	6.0	NA
Room_008	NA	Cat_0039	Ragdoll	Female	6.0	4.68	NA
Room_008	NA	Cat_0040	Ragdoll	Female	3.0	3.37	NA
Room_009	NA	Cat_0041	Ragdoll	Female	6.0	5.67	NA
Room_009	NA	Cat_0042	Domestic Longhair	Female	7.0	3.78	NA
Room_009	NA	Cat_0043	Bengal	Male	3.0	4.67	NA
Room_009	NA	Cat_0044	Ragdoll	Female	6.0	5.68	NA
Room_009	NA	Cat_0045	American Shorthair	Female	4.0	4.32	NA
Room_010	NA	Cat_0046	American Shorthair	Male	3.0	6.1	NA
Room_010	NA	Cat_0047	Ragdoll	Male	5.0	8.8	NA
Room_010	NA	Cat_0048	Ragdoll	Male	4.0	7.05	NA
Room_010	NA	Cat_0049	American Shorthair	Female	5.0	3.8	NA
Room_010	NA	Cat_0050	Domestic Longhair	Female	6.0	3.61	NA
Room_011	compromised	Cat_0051	Domestic Longhair	Male	7.0	5.69	evil
Room_011	compromised	Cat_0052	Ragdoll	Male	6.0	8.09	scared
Room_011	compromised	Cat_0053	Bengal	Male	3.0	5.45	scared
Room_011	compromised	Cat_0054	Domestic Longhair	Female	3.0	3.82	scared
Room_011	compromised	Cat_0055	Bengal	Male	5.0	4.72	scared
Room_012	compromised	Cat_0056	Domestic Longhair	Male	6.0	6.29	evil
Room_012	compromised	Cat_0057	Domestic Longhair	Male	4.0	6.87	scared
Room_012	compromised	Cat_0058	Ragdoll	Female	7.0	5.3	scared
Room_012	compromised	Cat_0059	Domestic Longhair	Female	5.0	3.72	scared
Room_012	compromised	Cat_0060	Ragdoll	Female	4.0	4.73	scared
Room_013	compromised	Cat_0061	Domestic Longhair	Male	6.0	5.26	evil
Room_013	compromised	Cat_0062	Domestic Longhair	Female	5.0	4.16	scared
Room_013	compromised	Cat_0063	American Shorthair	Female	3.0	4.38	scared
Room_013	compromised	Cat_0064	American Shorthair	Male	5.0	6.36	scared
Room_013	compromised	Cat_0065	Ragdoll	Female	5.0	5.2	scared
Room_014	compromised	Cat_0066	Domestic Longhair	Female	2.0	3.91	evil
Room_014	compromised	Cat_0067	Domestic Longhair	Female	5.0	4.16	scared
Room_014	compromised	Cat_0068	Bengal	Male	4.0	6.22	scared
Room_014	compromised	Cat_0069	Bengal	Female	7.0	3.63	scared
Room_014	compromised	Cat_0070	Ragdoll	Male	4.0	8.8	scared
Room_015	NA	Cat_0071	Ragdoll	Male	3.0	6.41	NA
Room_015	NA	Cat_0072	Ragdoll	Female	5.0	5.36	NA
Room_015	NA	Cat_0073	Domestic Longhair	Female	7.0	3.69	NA
Room_015	NA	Cat_0074	Ragdoll	Female	5.0	6.07	NA
Room_015	NA	Cat_0075	Domestic Longhair	Female	4.0	4.1	NA
Room_016	NA	Cat_0076	Domestic Longhair	Male	6.0	5.05	NA
Room_016	NA	Cat_0077	Domestic Longhair	Female	5.0	4.5	NA
Room_016	NA	Cat_0078	Bengal	Female	6.0	4.47	NA
Room_016	NA	Cat_0079	Bengal	Male	7.0	5.44	NA
Room_016	NA	Cat_0080	Domestic Longhair	Male	6.0	6.25	NA
Room_017	NA	Cat_0081	Bengal	Male	5.0	5.36	NA
Room_017	NA	Cat_0082	Domestic Longhair	Female	5.0	3.59	NA
Room_017	NA	Cat_0083	American Shorthair	Female	4.0	4.15	NA
Room_017	NA	Cat_0084	Ragdoll	Male	8.0	6.53	NA
Room_017	NA	Cat_0085	Bengal	Female	6.0	3.92	NA
Room_018	NA	Cat_0086	Bengal	Male	3.0	4.59	NA
Room_018	NA	Cat_0087	Bengal	Female	3.0	3.94	NA
Room_018	NA	Cat_0088	Bengal	Male	6.0	4.49	NA
Room_018	NA	Cat_0089	Bengal	Male	5.0	3.36	NA
Room_018	NA	Cat_0090	Bengal	Male	6.0	5.38	NA
Room_019	compromised	Cat_0091	Bengal	Female	3.0	3.87	evil
Room_019	compromised	Cat_0092	Bengal	Male	6.0	4.8	scared
Room_019	compromised	Cat_0093	Ragdoll	Male	4.0	7.76	scared
Room_019	compromised	Cat_0094	Bengal	Male	7.0	5.93	scared
Room_019	compromised	Cat_0095	Ragdoll	Male	5.0	5.81	scared
Room_020	NA	Cat_0096	Bengal	Male	8.0	5.44	NA
Room_020	NA	Cat_0097	Ragdoll	NA	5.0	6.64	NA
Room_020	NA	Cat_0098	Ragdoll	Female	8.0	4.66	NA
Room_020	NA	Cat_0099	Bengal	Female	5.0	3.83	NA
Room_020	NA	Cat_0100	Ragdoll	Male	4.0	6.43	NA
Room_021	NA	Cat_0101	Ragdoll	Female	5.0	4.68	NA
Room_021	NA	Cat_0102	American Shorthair	Male	4.0	6.09	NA
Room_021	NA	Cat_0103	Ragdoll	Female	4.0	5.71	NA
Room_021	NA	Cat_0104	Bengal	Male	4.0	7.17	NA
Room_021	NA	Cat_0105	Ragdoll	Female	5.0	4.71	NA
Room_022	NA	Cat_0106	American Shorthair	Female	6.0	4.66	NA
Room_022	NA	Cat_0107	Ragdoll	Female	8.0	5.61	NA
Room_022	NA	Cat_0108	American Shorthair	Male	6.0	5.52	NA
Room_022	NA	Cat_0109	Ragdoll	Female	6.0	5.24	NA
Room_022	NA	Cat_0110	Domestic Longhair	Female	3.0	3.48	NA
Room_023	compromised	Cat_0111	Ragdoll	Male	4.0	6.94	evil
Room_023	compromised	Cat_0112	American Shorthair	Male	4.0	5.49	scared
Room_023	compromised	Cat_0113	Bengal	Male	3.0	4.1	scared
Room_023	compromised	Cat_0114	American Shorthair	Female	2.0	3.93	scared
Room_023	compromised	Cat_0115	Domestic Longhair	Male	7.0	6.03	scared
Room_024	NA	Cat_0116	American Shorthair	Female	7.0	4.3	NA
Room_024	NA	Cat_0117	Ragdoll	Female	6.0	5.13	NA
Room_024	NA	Cat_0118	Domestic Longhair	Male	5.0	5.18	NA
Room_024	NA	Cat_0119	American Shorthair	Male	5.0	6.96	NA
Room_024	NA	Cat_0120	American Shorthair	Female	3.0	4.05	NA
Room_025	NA	Cat_0121	Domestic Longhair	Male	4.0	5.57	NA
Room_025	NA	Cat_0122	Domestic Longhair	Female	4.0	4.3	NA
Room_025	NA	Cat_0123	Domestic Longhair	Female	3.0	4.56	NA
Room_025	NA	Cat_0124	American Shorthair	Female	7.0	4.23	NA
Room_025	NA	Cat_0125	Domestic Longhair	Female	5.0	4.53	NA
Room_026	NA	Cat_0126	Ragdoll	Male	4.0	8.52	NA
Room_026	NA	Cat_0127	American Shorthair	Female	8.0	4.69	NA
Room_026	NA	Cat_0128	Domestic Longhair	Female	4.0	4.23	NA
Room_026	NA	Cat_0129	Domestic Longhair	Female	7.0	4.21	NA
Room_026	NA	Cat_0130	Ragdoll	Female	4.0	5.61	NA
Room_027	NA	Cat_0131	American Shorthair	Male	4.0	6.13	NA
Room_027	NA	Cat_0132	Ragdoll	Female	4.0	4.14	NA
Room_027	NA	Cat_0133	Domestic Longhair	Male	6.0	5.88	NA
Room_027	NA	Cat_0134	Bengal	Female	5.0	3.84	NA
Room_027	NA	Cat_0135	American Shorthair	Female	3.0	4.75	NA
Room_028	NA	Cat_0136	Bengal	Male	7.0	5.18	NA
Room_028	NA	Cat_0137	Bengal	Female	5.0	4.44	NA
Room_028	NA	Cat_0138	Domestic Longhair	Male	5.0	6.0	NA
Room_028	NA	Cat_0139	Bengal	Male	3.0	5.74	NA
Room_028	NA	Cat_0140	Ragdoll	Female	2.0	5.95	NA
Room_029	NA	Cat_0141	Ragdoll	Male	6.0	7.24	NA
Room_029	NA	Cat_0142	Bengal	Female	6.0	3.25	NA
Room_029	NA	Cat_0143	Ragdoll	Female	6.0	6.51	NA
Room_029	NA	Cat_0144	Ragdoll	Female	6.0	4.72	NA
Room_029	NA	Cat_0145	Domestic Longhair	Female	5.0	3.88	NA
Room_030	NA	Cat_0146	Bengal	Female	7.0	3.81	NA
Room_030	NA	Cat_0147	American Shorthair	Male	6.0	5.52	NA
Room_030	NA	Cat_0148	Ragdoll	Female	4.0	5.34	NA
Room_030	NA	Cat_0149	Ragdoll	Female	2.0	5.71	NA
Room_030	NA	Cat_0150	American Shorthair	Male	5.0	6.61	NA
